time,open,high,low,close,Volume
1656336600,20.251,20.6125,18.499,19.673,7685420
1656423000,19.764,20.37,18.471,18.612,6345710
1656509400,18.03,18.423,17.251,17.969,7620990
1656595800,17.28,17.542,16.273,16.43,7791870
1656682200,16.797,17.217,16.139,16.677,7855090
1657027800,16.584,18.8385,16.002,18.768,8114260
1657114200,18.576,19.3585,18.317,18.83,6359740
1657200600,19.07,22.052,18.98203,21.951,11958440
1657287000,21.312,23.62805,20.668,22.128,11522790
1657546200,21.035,21.33,19.8,20.09,6977620
1657632600,19.652,20.335,18.815,19.252,5886170
1657719000,18.675,20.327,18.2445,19.555,5641000
1657805400,19.329,20.54794,18.688,20.459,7227930
1657891800,20.9,21.419,20.229,21.398,4886800
1658151000,23.012,24.6565,22.425,22.563,10675760
1658237400,23.943,26.88,23.033,26.717,11809760
1658323800,27.85,29.95,27.151,28.877,16178810
1658410200,27.904,29.05,27.138,28.971,8099800
1658496600,29.406,29.80431,27.392,28.192,6542910
1658755800,26.702,27.56,26.201,26.586,4825630
1658842200,24.883,25.598,23.568,23.764,6626280
1658928600,24.728,26.815,24.125,26.24,7089020
1659015000,26.0,27.682,25.556,27.572,5934160
1659101400,27.0,28.797,26.757,28.606,6156810
1659360600,27.653,28.75,27.146,27.574,5202630
1659447000,28.089,29.524,27.574,27.826,6061000
1659533400,28.376,32.455,28.34115,31.368,12502380
1659619800,31.989,33.223,30.453,30.931,8922350
1659706200,30.874,33.097,30.544,31.915,6913550
1659965400,33.565,35.194,32.7445,33.001,6206550
1660051800,32.0,32.6531,31.425,31.938,3267930
1660138200,34.7,34.7,32.75,33.58,5381410
1660224600,35.5,36.197,33.006,33.699,6053900
1660311000,33.699,35.33,33.1,35.284,4254500
1660570200,34.646,35.83218,34.50001,34.908,3049850
1660656600,34.448,35.02699,33.026,34.264,3379400
1660743000,33.5,33.8,32.014,32.52,3292260
1660829400,32.103,32.8,31.843,32.438,2445760
1660915800,29.942,30.395,28.176,28.3,7574650
1661175000,27.301,27.9685,26.608,26.809,4506640
1661261400,27.19,28.327,25.88329,26.58,5319190
1661347800,26.57,27.671,26.398,27.441,2485080
1661434200,27.786,28.04599,26.7185,27.281,2764130
1661520600,27.5,27.5,24.8,24.92,6048990
1661779800,24.137,25.4198,24.111,24.496,4927790
1661866200,25.004,25.3,23.501,24.023,4948570
